id,sus_id,name
2807204,28006,Nossa Senhora do Socorro
2807303,28007,Propriá
2807402,28004,Lagarto
2807501,28002,Estância
2807600,28002,Estância
3500105,35001,Adamantina
3500204,35033,José Bonifácio
3500303,35040,Mantiqueira
3500402,35040,Mantiqueira
3500501,35016,Campinas
3500550,35060,Vale do Jurumirim
3500600,35047,Piracicaba
3500709,35014,Bauru
3500758,35029,Itapetininga
3500808,35005,Alta Sorocabana
3500907,35042,Norte - Barretos
3501004,35059,Vale das Cachoeiras
3501103,35022,Consórcios do DRS II
3501152,35055,Sorocaba
3501202,35063,Votuporanga
3501301,35005,Alta Sorocabana
3501400,35041,Marília
3501509,35041,Marília
3501608,35044,Oeste VII
3501707,35019,Central do DRS III
3501806,35063,Votuporanga
3501905,35016,Campinas
3502002,35049,Rio Claro
3502101,35035,Lagos do DRS II
3502200,35029,Itapetininga
3502309,35046,Paulo Cuesta
3502408,35005,Alta Sorocabana
3502507,35021,Circuito da Fé e Vale Histórico
3502606,35031,Jales
3502705,35030,Itapeva
3502754,35055,Sorocaba
3502804,35018,Central do DRS II
3502903,35055,Sorocaba
3503000,35003,Alta Mogiana
3503109,35060,Vale do Jurumirim
3503158,35021,Circuito da Fé e Vale Histórico
3503208,35019,Central do DRS III
3503307,35010,Araras
3503356,35058,Tupã
3503406,35014,Bauru
3503505,35021,Circuito da Fé e Vale Histórico
3503604,35046,Paulo Cuesta
3503703,35017,Catanduva
3503802,35044,Oeste VII
3503901,35007,Alto do Tietê
3503950,35031,Jales
3504008,35011,Assis
3504107,35015,Bragança
3504206,35018,Central do DRS II
3504305,35014,Bauru
3504404,35022,Consórcios do DRS II
3504503,35060,Vale do Jurumirim
3504602,35053,São José do Rio Preto
3504701,35014,Bauru
3504800,35053,São José do Rio Preto
3504909,35021,Circuito da Fé e Vale Histórico
3505005,35060,Vale do Jurumirim
3505104,35022,Consórcios do DRS II
3505203,35032,Jaú
3505302,35032,Jaú
3505351,35030,Itapeva
3505401,35062,Vale do Ribeira
3505500,35042,Norte - Barretos
3505609,35028,Horizonte Verde
3505708,35051,Rota dos Bandeirantes
3505807,35058,Tupã
3505906,35059,Vale das Cachoeiras
3506003,35014,Bauru
3506102,35056,Sul - Barretos
3506201,35018,Central do DRS II
3506300,35045,Ourinhos
3506359,35013,Baixada Santista
3506409,35018,Central do DRS II
3506508,35022,Consórcios do DRS II
3506607,35007,Alto do Tietê
3506706,35019,Central do DRS III
3506805,35032,Jaú
3506904,35046,Paulo Cuesta
3507001,35055,Sorocaba
3507100,35015,Bragança
3507159,35030,Itapeva
3507209,35011,Assis
3507308,35032,Jaú
3507407,35020,Centro Oeste do DRS III
3507456,35014,Bauru
3507506,35046,Paulo Cuesta
3507605,35015,Bragança
3507704,35022,Consórcios do DRS II
3507753,35022,Consórcios do DRS II
3507803,35059,Vale das Cachoeiras
3507902,35032,Jaú
3508009,35030,Itapeva
3508108,35022,Consórcios do DRS II
3508207,35003,Alta Mogiana
3508306,35014,Bauru
3508405,35034,Jundiaí
3508504,35008,Alto Vale do Paraíba
3508603,35021,Circuito da Fé e Vale Histórico
3508702,35050,Rio Pardo
3508801,35037,Lins
3508900,35005,Alta Sorocabana
3509007,35026,Franco da Rocha
3509106,35024,Extremo Oeste Paulista
3509205,35026,Franco da Rocha
3509254,35062,Vale do Ribeira
3509304,35042,Norte - Barretos
3509403,35059,Vale das Cachoeiras
3509452,35029,Itapetininga
3509502,35016,Campinas
3509601,35034,Jundiaí
3509700,35061,Vale do Paraíba/ Região Serrana
3509809,35041,Marília
3509908,35062,Vale do Ribeira
3509957,35021,Circuito da Fé e Vale Histórico
3510005,35011,Assis
3510104,35043,Norte do DRS III
3510153,35045,Ourinhos
3510203,35030,Itapeva
3510302,35055,Sorocaba
3510401,35047,Piracicaba
3510500,35038,Litoral Norte
3510609,35051,Rota dos Bandeirantes
3510708,35063,Votuporanga
3510807,35050,Rio Pardo
3510906,35059,Vale das Cachoeiras
3511003,35035,Lagos do DRS II
3511102,35017,Catanduva
3511201,35017,Catanduva
3511300,35053,São José do Rio Preto
